File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,errorToString(parsing(loc fileLocation)),4,4,1,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,"errorToString(ambiguity(loc fileLocation, str usedSyntax))",5,5,1,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,errorToString(imploding(loc location)),4,4,1,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,errorToString(version(str version)),3,3,1,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,errorToString(fileNotFound(loc fileLocation)),3,3,1,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\ParserAPI.rsc,parseAndPrint(loc projectFile),13,13,7,2,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseGrammar(str fileName, ProjectInformation projectInfo, LudoscopeModule newModule)",25,21,11,2,4,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseRules(ProjectInformation projectInfo, LudoscopeModule newModule, list[parsing::languages::grammar::AST::Rule] rules)",19,16,9,2,3,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseRightHands(ProjectInformation projectInfo, LudoscopeModule newModule, list[RightHandExpression] abstractRightHands)",10,10,5,2,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,parseSettings(list[RuleSetting] settings),10,10,6,3,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,parseTopology(int i),23,19,13,4,4,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[Symbol] symbols, tileMap(int width, int height))",17,17,13,3,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[Symbol] symbols, string())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[Symbol] symbols, graph())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[Symbol] symbols, shape())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[LeftHandSymbol] symbols, tileMap(int width, int height))",17,17,13,3,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[LeftHandSymbol] symbols, string())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[LeftHandSymbol] symbols, graph())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,"parseExpression(ProjectInformation projectInfo, LudoscopeModule newModule, list[LeftHandSymbol] symbols, shape())",3,3,3,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,parseProject(loc projectFile),20,19,12,5,0,0,1,4,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,"parseDeclaration( declaredAlphabet(parsing::languages::project::AST::Alphabet declaredAlphabet), ProjectInformation projectInfo)",41,39,24,6,0,0,2,20,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,"parseDeclaration( declaredModule(Module declaredModule), ProjectInformation projectInfo)",35,26,15,7,2,0,7,30,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,"parseDeclaration( declaredOption(Option declaredOption), ProjectInformation projectInfo)",2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,"parseDeclaration( declaredRegister(Register declaredRegister), ProjectInformation projectInfo)",2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Recipe.rsc,"parseRecipe( str fileName, ProjectInformation projectInfo)",24,22,12,4,2,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Recipe.rsc,"parseInstruction(iterateRule(bool commented, str ruleName))",2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Recipe.rsc,"parseInstruction(executeRule(bool commented, str ruleName, int executions))",2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\AllTests.rsc,runAllParsingTests(),5,5,2,4,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,runAllTests(),5,5,2,4,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,alphabetParsingTest(loc fileToParse),28,26,18,4,0,0,2,19,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,tryParsingOnlyColors(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,tryParsingColorsAndAbbreviation(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,tryParsingCompleteSymbol(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,tryParsingMixedSymbols(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,tryParsingSymbolWithWildCard(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,runAllTests(),8,8,2,7,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,grammarParsingTest(loc fileToParse),28,26,18,4,0,0,2,19,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingAllOptions(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingAllRuleSettings(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingOnlyStart(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingAllMemberTypes(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingRuleWithMultipleRightHands(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingRuleWithNestedSymbol(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,tryParsingSimpleRule(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\ParsingTest.rsc,"genericParsingTest(loc fileToParse, type[Tree] syntaxType, type[value] AST)",28,26,18,4,0,0,2,19,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,runAllTests(),8,8,2,7,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,projectParsingTest(loc fileToParse),28,26,18,4,0,0,2,19,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingOnlyAlphabet(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingOptions(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingRegisters(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingSingleModule(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingMultipleModulesWithAlphabet(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingCompleteModule(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,tryParsingComplexProject(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,runAllTests(),7,7,2,6,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,recipeParsingTest(loc fileToParse),28,26,18,4,0,0,2,19,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingComment(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingSingleInstruction(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingDiceNotation(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingBasicInstructions(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingAdvancedInstructions(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,tryParsingAllInstructions(),2,2,1,1,0,1,0,1,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,removeQuotes(str string),2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,cleanModuleName(str name),2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,cleanAlphabetName(str name),2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,cleanRecipeBool(str text),2,2,2,1,0,0,0,0,
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,"fileLocation(loc projectLocation, str filename, str extension)",2,2,2,1,0,0,0,0,
